Can an adopted child live with his caregivers instead of the adoptive parents?,"Once an Adoption Order is granted by the Family Court, the adoptive parents are responsible for all matters in relation to the custody, maintenance and education of the adopted child. This includes the living arrangements of the adopted child."
Do you have adopt a child scheme?,"We do not have an adopt-a-child scheme. But if you would like to foster a child, please visit this page for information."
Can a child that is adopted overseas get a pass to live in Singapore with his Singaporean parents?,"If you have adopted and legalised the adoption of your child overseas, please check with the Immigration and Checkpoints Authority, or ICA if they recognise the foreign adoption and are able to issue a pass for the child to reside in Singapore.

You may contact ICA through the feedback form on their website or call them at 6391 6100."
Do I have to re-adopt for a child we adopted in Malaysia as my wife is a Malaysian?,"If the child was legally adopted overseas, there is no requirement to re-adopt the child in Singapore. If you wish to re-adopt your Malaysian child in Singapore, please refer to Adoption portal for information on the adoption process."
How do Singaporeans who are living overseas legalise the adoption of a child there?,"If you are a Singaporean couple living overseas and wish to adopt a child from that country, you will need to check with the authorities there to ensure that you have met the requirements to adopt a child from that country. You should also seek legal advice on whether the foreign adoption order is recognised here in Singapore."
What is the procedure for Singapore citizens to adopt a child when they are overseas?,I'm sorry. I am unable to advise you as the adoption criteria and procedures can be different from country to country. You should seek a lawyer’s advice.
What is the process of adopting a child from the People’s Republic of China?,"If you wish to adopt a child from the People’s Republic of China or PRC, you are required to comply with the requirements set out by the PRC, in addition to the requirements of Singapore. 

The adoption process will be longer as approval from the PRC authorities must be obtained, and the adoption must be legalised in China before the child can be brought into Singapore to legalise the adoption here. Your presence is required in the PRC to legalise the adoption in China. 

Applications to adopt a child from PRC must be made through agencies accredited by MSF and the Ministry of Civil Affairs of PRC. The agencies accredited by MSF are TOUCH Family Services Ltd and Fei Yue Community Services. 

Please visit the Adoption portal for the full procedure to adopt a child from the PRC."
What is the process of adopting a foreign child (excluding PRC)?,"If you wish to adopt a foreign child from other parts of the world, and is not from the People’s Republic of China, you must first attend a Pre-Adoption Briefing (PAB). 

Next, you must complete a Home Study Report (HSR). You are not allowed to bring the child home to stay with you until you are assessed to be suitable to adopt. 

When identifying a child to adopt, you must ensure that the child is not trafficked, or illegally brought into Singapore for adoption, and you have the consent of the child's parents to adopt the child.

Please refer to the Adoption portal for the full procedure to adopt a foreign child."
I am married to a Singaporean but I work overseas most of the time. I wish to adopt a child. Can I make an application for adoption?,"If you are not residing in Singapore, please check with your lawyer whether you meet the residency requirement stated in the Adoption of the Children Act. Please also note that you, your spouse and the child you intend to adopt must reside in Singapore during the adoption process. The adoption process which include investigation and Court proceedings may take months."
I have a child born overseas. I'm not married to the mother. My name is not in the BC. How do I adopt?,"If you are a Singapore citizen who wish to adopt your stepchild, you may request for a waiver of the Home Study Report or HSR.

Please note that this waiver is not applicable to the adoption of stepchildren from:



 * the People’s Republic of China, and
 * foreigners who wish to adopt their stepchildren.



If you would like to ask for a waiver of the HSR, please submit copies of the following documents to msf_adoption@msf.gov.sg:



 * Your NRIC and your spouse’s NRIC
 * Marriage certificate
 * Child’s birth certificate
 * Child’s travel documents if the child does not reside in Singapore



Please note that the procedure to adopt a stepchild depends on the child’s nationality. Please select if your stepchild is a"
Should I adopt my biological child born out of wedlock?,The decision to adopt your biological child born out of wedlock is a personal choice.
How do I adopt a foreign child?,Please confirm whether the child is:
"I am a foreigner, what do I need to do to adopt a child in Singapore?","For information on how a foreigner can adopt in Singapore, please write in to the Child Welfare team using this form. Please enter ‘Adoption by Foreigners in Singapore’ in the Subject field and submit your details."
