What is the foreign domestic worker (FDW) grant?,"The Foreign Domestic Worker (FDW) Grant is an assistance scheme that is intended to help families who need to hire a foreign domestic worker to care for their loved ones. Families who hire foreign domestic workers to care for elderly persons or persons with moderate to severe disabilities may receive a monthly grant payment of $120. 

More information on the grant's eligibility criteria and a list of qualified assessors can be found on AIC's website: https://www.aic.sg/. Should you require any further clarification, you may wish to email AIC at enquiries@aic.sg or call their hotline at 1800 650 6060."
"I wish to go to different Social Service Offices (SSO) for my assistance, can I do so?","If you are currently receiving assistance, you will need to approach your officer to request for a transfer to another Social Service Offices (SSO). You may transfer to a different SSO only if you have a valid reason. For example, you work near a particular SSO or are planning to move away. The transfer will be permanent, and you will approach the new SSO for future applications.

If you are not receiving assistance at the moment, please go to the SSO nearest to where you live, or most accessible to you."
What are my rights if ComCare makes a decision I disagree with?,"There are multiple layers of checks and assessments before the outcome of a ComCare application is determined. As we require more information of your feedback, please provide us with your contact details here."
Is there any financial assistance for families who are unable to afford child care fees even after the Basic and Additional Subsidies?," Low income families with extenuating circumstances can apply for further child care financial assistance if they are unable to afford child care fees, even after receiving the Basic and Additional Subsidies. They can also apply for a one-time grant to cover the initial start-up costs of enrolling a child in the centre. 

Children who are Singapore Citizens and placed in affordable child care centres can be considered for further financial assistance. Both parents should also be working at least 56 hours per month, or produce valid reasons for not working, such as medical leave, incarceration, looking for work, or is certified as a full-time caregiver for a dependent. Relevant supporting documents should accompany the application.

Eligible families may apply through the child care centre. 

For more information, please approach the child care centre which your child is enrolled to."
Are there any assistance available for pre-delivery expenses?,Information on the Ministry of Health's Medisave Maternity Package can be found on the Heybaby website.
Can I apply for ComCare financial assistance if I am overseas?,"ComCare financial assistance is rendered to Singapore Citizens or Permanent Residents who are residing in Singapore.

You may wish to find out if there is any financial support or social assistance at the state where you are currently residing at."
Can I apply for ComCare financial assistance online?,"

To apply for financial assistance, please approach the Social Service Office (SSO) for a holistic assessment of your financial situation. The SSO officer will conduct an in-depth interview with you to understand your circumstances and work with you on the possible action plans to improve your situation. In the event if you require other forms of assistance, the SSO may link you up with social/community services agencies or government agencies. 

You may locate the nearest SSO to your residence here. If you are unable to visit the SSO for assistance due to mobility issue, please call ComCare Hotline at 1800-222-0000 or provide us with your contact details here to make an alternative arrangement."
Can I apply for multiple assistance schemes?,"Our officers will conduct a holistic assessment on your circumstances to determine your eligibility. Depending on the needs, they may also link you up with other agencies for assistance."
Can single mothers apply for financial assistance?,"If you are seeking financial assistance for yourself or your family members, you may approach Social Service Office (SSO) nearest to your residence. The SSO will assess your situation to determine your eligibility for assistance. You can find the SSO nearest to your residence or place of work by entering the postal code of the address at https://www.msf.gov.sg/ssolocator."
Do I need to fix an appointment with an Social Service Offices (SSO) before I go in?," You do not need to fix an appointment with Social Service Offices (SSO). You may walk in during the operating hours.
The Social Service Offices (SSOs) are open from Mondays to Fridays, 9am to 6pm (last registration at 5pm). 

The following SSOs are open on Saturdays, 9am-1pm:

 1. SSO @ Woodlands
    
    
 2. SSO @ Jurong East
    
    
 3. SSO @ Tampines
    
    
 4. SSO @ Toa Payoh"
Do we need to be a Singaporean to be eligible for the ComCare Financial Assistance?,"To be eligible for ComCare Financial Assistance, you need to be a Singapore Citizen or Permanent Resident (at least one immediate family member in the same household must be a Singapore Citizen)"
How are the applicants for assistance assessed?,"The SSOs adopt a holistic approach to assessing applicants’ need for financial assistance. This includes assessment of income, expenditure, savings, and support network, to ensure that the assistance is customised to the applicant's needs."
"How can the government help tissue sellers who are elderly, or handicapped or look like they need help?","If you noticed someone who need assistance, please encourage them to call ComCare Helpline at 1800-222-0000. We will advise him on the social assistance available. If you are calling on behalf of someone who needs assistance, please call our hotline and provide us with information such as the location, time and description so that our staff can locate and offer assistance to the person."
