Can ComCare clients receive Courage Fund? Can Temporary Relief Fund and COVID-19 Support Grant receipients receive Courage Fund?,"Yes, ComCare/ Temporary Relief Fund/ COVID-19 Support Grant recipients can still receive Courage Fund."
Can more than one member of the household submit applications for this scheme?,"No, the relief under Courage Fund Scheme for affected households is provided once for each
household, regardless of the number of household members who contracted COVID-19 or were
on a Quarantine Order/ Leave of Absence/ Stay-Home Notice or the number of times a household
member is placed under a Quarantine Order/ Leave of Absence/ Stay-Home Notice."
How can applicants find out their bank details?,"Applicants are advised to contact their bank to find out branch details. Below are the steps to determine bank branch details for some banks (applicants should check with their respective banks for latest information). * For POSB account holders (9-digit account number):
 * Bank Code: 7171Branch Code: 081Branch Name: POSB Bank Ltd.
   

 * For DBS account holders (10-digit account number):
 * Bank Code: 7171Branch Code: First 3 digits of your DBS account number. For example for account no. 123-4-567890 the Branch Code is 123Branch Name: DBS Bank Ltd.
   

 * For OCBC account holders (10 or 12-digit account number):
 * Bank Code: 7339Branch Code: The first three numbers of your OCBC account number are branch codes. Example of OCBC Bank account numbers: 555-1-234567 where 555 is the branch code 501-123956-001 where 501 is the branch code
   

 * For UOB account holders (10-digit account number):
 * Bank Code: 7375Branch Code: Please use the first 3 digits of your UOB account number and refer to Appendix A to retrieve the corresponding bank and branch code from the following document http://www.uob.com.sg/assets/pdfs/global/achcode.pdf. For example: For account 101-123-456-7, please use 101 to refer to Appendix A to retrieve the Bank Code 7375 and Branch code 001."
Where can I find details of the other schemes under the Courage Fund?,"Besides lower-income household whose family member(s) have contracted COVID-19 or are on Stay-Home Notice, Leave of Absence or Home Quarantine Order, the Courage Fund will also support (i) dependents of individuals who contract COVID-19, and (ii) healthcare workers, frontline workers and community volunteers who contract the virus in the course of duty.For more details, please refer to the following NCSS website:https://www.ncss.gov.sg/Our-Initiatives/The-Courage-Fund."
Would the applicant be eligible if he or she self-imposed a leave of absence or quarantine?,"No, the relief is for those who have been directly affected by COVID-19 and who were issued official QOs/SHNs/LOAs by MOH, MOM or employers."
What are the eligibility criteria for COVID-19 Support Grant? (from 01 Oct 2020),"The eligibility criteria for the COVID-19 Support Grant are as follows: * Singapore Citizen or Permanent Resident aged 16 and above 
 * Full-time or part-time employee affected by the economic impact of COVID-19 (involuntary loss of job/reduction in salary or start of involuntary no pay leave (NPL) should have occurred after 23 Jan 2020):  * Presently involuntarily unemployed due to retrenchment/contract termination; 
    * Presently on involuntary NPL for a period of at least three consecutive months (e.g. Aug - Oct 2020, Oct - Dec 2020); or 
    * Presently experiencing reduced monthly salary of at least 30%, for a period of at least three consecutive months (e.g. Aug - Oct 2020, Oct - Dec 2020)
   
   
 * Prior gross monthly household income of ≤$10,000 or monthly per capita income of ≤ $3,100 
 * Live in a property with annual value of ≤$21,000 
 * (New from 01 Oct 2020) Does not own more than one property
 * Not on ComCare Short-to-Medium-Term Assistance or Long-Term Assistance 
 * Has not already benefitted from nor is planning to apply for assistance under the Self-Employed Persons Income Relief Scheme (SIRS)
 * Not on SGUnited Mid-Career Pathways Programme - Company Training, or SGUnited Skills Package
 * Full-time National Servicemen and interns are not eligible
   
 * (New from 01 Oct 2020) Applicants who lost their jobs have to show that they have actively applied or participated in at least one job search or training programme(s) after they lost their jobs. The job search/participation in training programmes should have taken place in the two months before their application. This includes one or more of the following:
   - Applied for schemes under the SGUnited Job & Skills Package; 
   - Applied/participated in job search or training programme under Workforce Singapore or the Employment and Employability Institute;
   - Applied/participated in training programme(s) supported by SkillsFuture Singapore; and/or
   - Applied/interviewed for jobs (at least one application/interview within the past two months preceding your CSG application"
What are the changes to the eligibility criteria for the extended COVID-19 Support Grant?," * Applicants who own more than one property would be ineligible for the COVID-19 Support Grant.

 * Applicants who lost their jobs have to demonstrate that they have actively participated in job search or training programmes after they lost their jobs. The job search/participation in training programmes should have taken place in the two months before their application.The types of job search and training programmes, and list of possible supporting documents can be found in FAQ 26."
Why are there additional requirements in the revised eligibility criteria?," * The COVID-19 Support Grant is intended to support lower- and middle-income households whose employment or salaries were affected due to the economic impact of COVID-19. The intent of the additional job search/training requirement is to ensure applicants take active steps to improve their employment situation. Applicants who have not started job search/training can do so and apply for the COVID-19 Support Grant when ready.

 * Applicants who own more than one property would be ineligible for the COVID-19 Support Grant as the intent of the Grant is to provide support to those with lesser means. This requirement is aligned to the Self-Employed Person Income Relief Scheme (SIRS)."
Are existing and previous COVID-19 Support Grant recipients eligible for the extended COVID-19 Support Grant?," * Yes. Existing and previous COVID-19 Support Grant recipients who meet the revised eligibility criteria can apply for an additional three months of support.

 * Applicants can only apply for second round of support after their current tranche of assistance has ended, or are in their last month of pay out.

 * Eligible applicants can only receive the grant once for each of the application window periods:
 * First application window between 4 May 2020 and 30 September 2020.Second application window between 1 October 2020 and 31 December 2020."
"If an applicant submits his/her application before 1 Oct 2020, will the revised eligibility criteria be applicable to him/her?"," * No. Applicants will be assessed by the COVID-19 Support Grant eligibility criteria at the point of application.

 * Individuals may continue to apply for the COVID-19 Support Grant with the current eligibility criteria until 6pm on 30 Sep 2020. The revised eligibility criteria will take effect from 9am on 1 Oct 2020."
Do applicants need to be affected for three months before they are eligible for the COVID-19 Support Grant?,"Employees who have lost their jobs can apply for CSG immediately without waiting for three months.Employees who are placed on involuntary NPL or experiencing reduced monthly salary need not wait till they are affected for three consecutive months to apply. They are eligible for CSG if their NPL or salary loss has already started, and they provide supporting documents, such as a letter from their employer, showing that the involuntary NPL or salary reduction will be for at least three consecutive months."
What does the criterion on 30% reduction in salary for a period of at least three months mean?,"This refers to a reduction in total salary of at least 30% each affected month, for three consecutive months, each affected month compared to the base month. All income from the applicant’s employment will be regarded during assessment."
Can more than one family member in a household get help from the COVID-19 Support Grant?,Yes. Each individual family member who fulfils the eligibility criteria is eligible for support under the COVID-19 Support Grant.
